verdict,id,name,city,vegan_level,osm_id,osm_diet_vegan,website_status,strong_hits,counter_hits,hc_listed,chain_hit,reasoning,slug
SUSPECT,1cc1fd6c-7354-466d-8668-f953fe0f96ca,"Huimian",Ixelles,fully_vegan,6284575332,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",huimian-ixelles
SUSPECT,b1c5c7bd-7f88-4518-9b50-c6a18b14e4f1,"Ellis",Bruges,fully_vegan,1187790220,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",ellis-bruges
SUSPECT,86d70c1e-cb89-4af0-b593-087ef73207b2,"De Brugsche tafel",Bruges,fully_vegan,8960168517,yes,404,"","",no,,"OSM diet:vegan="yes" | Website unreachable: 404 | Not in HappyCow vegan list for this city",de-brugsche-tafel-bruges
SUSPECT,8813387a-2240-4dd4-8642-f61815ce149c,"Yin-Yuan",Evere,fully_vegan,13151987836,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",yin-yuan-evere
SUSPECT,ed0aebdc-d45d-420f-9975-ae25cd115c16,"Wok Up",Brussels,fully_vegan,4318137537,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",wok-up-brussels
SUSPECT,623cbcc5-ad5f-4f75-b961-39a2a123fe35,"Pure Veg India",Brussels,fully_vegan,4564340242,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",pure-veg-india-brussels
SUSPECT,67c13563-17c2-476f-9402-65fc96eb9a34,"Les 4 Jeudis",Saint-Josse-ten-Noode,fully_vegan,4895392733,only,200,"turkey","",no,,"OSM diet:vegan="only" | Website mentions raw animal flesh: turkey",les-4-jeudis-saint-josse-ten-noode-sint-joost-ten-node
SUSPECT,31fa22fb-d9fe-46c4-adf4-76613125aa9f,"Kyoto food",Etterbeek,fully_vegan,724221378,yes,fetch failed,"","",no,,"OSM diet:vegan="yes" | Website unreachable: fetch failed",kyoto-food-etterbeek
SUSPECT,2b010fa5-89bb-4b5a-93e5-7801263c2973,"Bassin",Ghent,fully_vegan,7783901382,yes,200,"prosciutto","",no,,"OSM diet:vegan="yes" | Website mentions raw animal flesh: prosciutto | Not in HappyCow vegan list for this city",bassin-ghent
SUSPECT,39b37932-47c8-48c3-907f-a95cccc730b4,"Fasika",Etterbeek,fully_vegan,11219571732,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",fasika-etterbeek
SUSPECT,8bd95b91-b008-4121-a89b-79d277c50d48,"Pizzeria La Regina",Ixelles,fully_vegan,7185348285,yes,200,"","",no,,"OSM diet:vegan="yes"",pizzeria-la-regina-ixelles
SUSPECT,3ecfbf37-3d45-4c5c-a8f4-e183200feaf7,"Také",Mechelen,fully_vegan,6841975288,yes,200,"chicken","",yes,,"OSM diet:vegan="yes" | Website mentions raw animal flesh: chicken | HappyCow lists as Vegan for this city",take-mechelen
SUSPECT,9f91ce66-9738-49b4-8595-eb427e2934b1,"The Wild Lab",Saint-Gilles,fully_vegan,7195165369,yes,404,"","",no,,"OSM diet:vegan="yes" | Website unreachable: 404",the-wild-lab-saint-gilles
SUSPECT,249b8b94-ed48-42cf-b4fd-1e54e84843af,"Cigköfteci Ömer",Schaerbeek,fully_vegan,9651817184,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",cigkofteci-omer-schaerbeek
SUSPECT,157d8332-e629-4b6e-b1f3-0921b281e019,"De Papegaai",Ghent,fully_vegan,3266033261,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",de-papegaai-ghent
SUSPECT,f11919a9-f30d-4639-99be-c7da16b5c1c7,"Alma",Kortrijk,fully_vegan,8866324805,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",alma-kortrijk
SUSPECT,7c9a64f4-dd7c-47bd-9318-de9646a7abe4,"Na'Fura",Tervuren,fully_vegan,12309200601,yes,200,"","",no,,"OSM diet:vegan="yes"",na-fura-tervuren
SUSPECT,ff41663b-0dc0-4f85-b94f-40166ae4058f,"de lekkerbek",Zelzate,fully_vegan,12463183968,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",de-lekkerbek-zelzate
LIKELY,b93a910f-53d6-43e4-a459-13bd83a7a40c,"Liu Lin",Brussels,fully_vegan,,,503,"","",no,,"Website unreachable: 503 | Not in HappyCow vegan list for this city",liu-lin-brussels
CONFIRMED,3d74ecb1-ba25-4442-b354-1e460bfd6ed0,"OhMA",Ghent,fully_vegan,,,200,"","100% plant-based",yes,,"Website confirms vegan: 100% plant-based | HappyCow lists as Vegan for this city",ohma-ghent
WRONG,1fa9cf50-ac5c-4023-b071-bbdebbe67c2b,"Pura Vida Vegan Tacos",Antwerp,fully_vegan,,,200,"beef, chicken, chorizo","",yes,,"Website mentions raw animal flesh: beef, chicken, chorizo | HappyCow lists as Vegan for this city",pura-vida-vegan-tacos-antwerp
SUSPECT,b1613a57-38f3-451e-acca-2340ea073375,"HUMM Restaurant",Antwerp,fully_vegan,,,200,"oyster","",yes,,"Website mentions raw animal flesh: oyster | HappyCow lists as Vegan for this city",humm-restaurant-antwerp
LIKELY,35045671-12c3-4b83-a74d-e021ab025946,"Klimzaal Blok",Antwerp,fully_vegan,,,200,"","",yes,,"HappyCow lists as Vegan for this city",klimzaal-blok-antwerp
LIKELY,2aebbc69-67af-496f-9ec0-d1f732d5abcc,"Kosmopoliet",Bruges,fully_vegan,,,200,"","",yes,,"HappyCow lists as Vegan for this city",kosmopoliet-bruges
LIKELY,97dc135d-42f4-4f32-bd28-70e5c6489b1f,"Blackbird",Bruges,fully_vegan,,,200,"","",yes,,"HappyCow lists as Vegan for this city",blackbird-bruges
SUSPECT,48f839f2-ad36-4f87-8770-ed30b11c3204,"Wild Foodz",Bruges,fully_vegan,9391850373,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",wild-foodz-bruges
SUSPECT,0ded629e-f50a-484d-a150-a93510dd8a3c,"L'arbre à pain",Auderghem,fully_vegan,11199649780,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",l-arbre-a-pain-auderghem
SUSPECT,3970add2-4f91-4dca-817d-a0e786442da9,"Lighthouse Cafe",Antwerp,fully_vegan,5419041511,yes,404,"","",no,,"OSM diet:vegan="yes" | Website unreachable: 404 | Not in HappyCow vegan list for this city",lighthouse-cafe-antwerp
SUSPECT,16ebcdd9-63ce-47d5-96f6-9ed01d7e98a0,"Yummy bowl",Brussels,fully_vegan,4413967687,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",yummy-bowl-brussels
SUSPECT,73dd0d30-6244-4af3-bc44-dc197fcdd8ac,"Pizzeria Biga",Schaerbeek,fully_vegan,7190592640,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",pizzeria-biga-schaerbeek
SUSPECT,224fdae8-bf6c-499a-a171-6136f4e2afc3,"FlavouRRs",Bruges,fully_vegan,9873268890,yes,fetch failed,"","",no,,"OSM diet:vegan="yes" | Website unreachable: fetch failed | Not in HappyCow vegan list for this city",flavourrs-bruges
SUSPECT,ba283bbd-75a3-4034-a4d5-81c57e2b4bb6,"Apocalypse",Ixelles,fully_vegan,7254813151,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",apocalypse-ixelles
SUSPECT,b7278723-fba9-4dba-8e30-3ec292a5a5b5,"Amuz&Vous",Wetteren,fully_vegan,6285445910,yes,200,"","",no,,"OSM diet:vegan="yes"",amuzandvous-wetteren
SUSPECT,f3b70763-da2e-4145-a9ee-d4761ceeeb52,"L'Atlantide",Etterbeek,fully_vegan,8888793617,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",l-atlantide-etterbeek
CONFIRMED,234536cb-3c10-4ceb-94db-73243af591f2,"Oh!Ma",Ghent,fully_vegan,12367017828,only,200,"","100% plant-based",no,,"OSM diet:vegan="only" | Website confirms vegan: 100% plant-based | Not in HappyCow vegan list for this city",oh-ma-gent
CONFIRMED,5eb2fdd5-24ee-4b9f-911f-801ab1e040df,"Funky Jungle",Mechelen,fully_vegan,4329815823,only,200,"","100% vegan",yes,,"OSM diet:vegan="only" | Website confirms vegan: 100% vegan | HappyCow lists as Vegan for this city",funky-jungle-mechelen
SUSPECT,00f2a4e6-5dac-44af-b71c-f01b7e51ad15,"Nana",Ghent,fully_vegan,,,(no website),"","",no,,"No website to scan | Not in HappyCow vegan list for this city",nana-ghent
LIKELY,d690be35-6d76-4f15-8dfe-351d61db691e,"Amaranth",Merelbeke,fully_vegan,,,200,"","",no,,"",amaranth-merelbeke
CONFIRMED,668101db-eca8-4aa2-b551-70ad7b8e5625,"Spritz",Antwerp,fully_vegan,4266000491,only,(no website),"","",yes,,"OSM diet:vegan="only" | No website to scan | HappyCow lists as Vegan for this city",spritz-antwerpen
SUSPECT,0737c87e-e1b6-41ae-9987-0c6066719952,"Studentenresto Ardoyen",Ghent,fully_vegan,4130825680,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",studentenresto-ardoyen-ghent
CONFIRMED,62a3c810-30b0-4caa-9999-29e36bb54058,"B&B AM/PM",Sint-Andries,fully_vegan,4332247714,only,200,"","100% vegan",no,,"OSM diet:vegan="only" | Website confirms vegan: 100% vegan",b-b-am-pm-sint-andries
SUSPECT,0be33591-7f7a-4405-9f5d-e94d31d41525,"Bouboule",Etterbeek,fully_vegan,8929353617,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",bouboule-etterbeek
SUSPECT,62c37584-33c4-4e36-bffb-ecbf40ded3d2,"Australian",Liège,fully_vegan,4410696095,yes,fetch failed,"","",no,,"OSM diet:vegan="yes" | Website unreachable: fetch failed | Not in HappyCow vegan list for this city",australian-liege
SUSPECT,b1f6619b-0c3c-4449-8a23-2d1da898fe65,"TICH",Brussels,fully_vegan,5389787926,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",tich-brussels
SUSPECT,c49ecd46-c710-4efc-ad3e-f3df30a7c90a,"Le Mucha",Woluwe-Saint-Pierre,fully_vegan,10008767408,yes,200,"","",no,,"OSM diet:vegan="yes"",le-mucha-woluwe-saint-pierre-sint-pieters-woluwe
CONFIRMED,a593261e-8952-48ee-861f-bfd18b09be68,"Lento",Hasselt,fully_vegan,9965289393,yes,200,"","100% vegan",yes,,"OSM diet:vegan="yes" | Website confirms vegan: 100% vegan | HappyCow lists as Vegan for this city",lento-hasselt
