web_suspicion,db_score,id,slug,name,city,country,source,website,top_hits
"3","6","0d225d56-d5a3-496b-b14a-00a3d07a3e24","eat-happy-mering","Eat Happy","Mering","Germany","osm-import-2026-04","https://www.eathappy.de/","chicken:1,hähnchen:1,lachs:1"
"3","6","0f1c9dae-fea5-447e-b5d0-ec3c1806d3de","mildreds-london-2","Mildreds","London","United Kingdom","openstreetmap","https://www.mildreds.com/victoria/","chorizo:4,sausage:4"
"3","6","202228ee-5601-44ab-b760-d69e5ab81f1d","eat-happy-friedrichshafen","Eat Happy","Friedrichshafen","Germany","osm-import-2026-04","https://www.eathappy.de/","chicken:1,hähnchen:1,lachs:1"
"3","6","4e17f1d2-c1d0-4316-b4d0-f0e258764a05","nero-s-nauheim","Nero's","Nauheim","Germany","osm-import-2026-04","https://www.neros-nauheim.de/","pesce:4,lachs:1"
"3","6","5f771dc5-e695-4a35-a729-89006cf2b7eb","chez-yara-liege","Chez Yara","Liège","Belgium","osm-import-2026-04","https://www.chezyara.be/","poulet:8,boeuf:1"
"3","6","610ca684-3688-4510-b07d-64ce7f632c4d","cafeteria-schluterstrasse-erfurt","Cafeteria Schlüterstraße","Erfurt","Germany","osm-import-2026-04","https://www.stw-thueringen.de/mensen/erfurt/cafeteria-schlueterstrasse.html","fisch:9,lamm:3"
"3","6","755ac16d-160b-43f2-b033-1860cc0b289a","loving-hut-glendora","Loving Hut","Glendora","United States","openstreetmap","https://lovinghut.us/glendora/","tuna:2,ham:1,beef:1"
"3","6","77308777-6a18-49d4-b450-0db90911c289","mildreds-london-4","Mildreds","London","United Kingdom","openstreetmap","https://www.mildreds.com/soho/","chorizo:4,sausage:4"
"3","6","7a646a0f-f00a-4fb2-895e-14c25c57cf80","moien-masala-luxembourg","Moien Masala","Luxembourg","Germany","osm-import-2026-04","https://www.moienmasala.lu","chicken:6,fish:2"
"3","6","7c805ce3-6ddc-4f58-b251-2475166c69bc","italian-corner-ghent","Italian corner","Ghent","Belgium","osm-import-2026-04","https://www.hogent.be/student/catering/menu-italian-corner/","ham:1,chicken:1,pepperoni:1"
"3","6","dc021c65-da46-4767-9cc3-7efec64a06a2","mildreds-london-6","Mildreds","London","United Kingdom","openstreetmap","https://www.mildreds.co.uk/locations/covent-garden/","chorizo:4,sausage:4"
"3","6","e1b798d1-f08d-4527-9f9e-21041130c177","bodhi-new-york","Bodhi","New York","United States","openstreetmap","http://www.buddhabodhaikoshervegetarianrestaurantmulberryst.com/","chicken:2,lamb:1,beef:1"
"3","5","227e6afd-9adc-4372-95d1-9135f91af482","karma-konstanz","Karma","Konstanz","Germany","osm-import-2026-04","https://www.karma-konstanz.com/","huhn:1,lamm:1,fisch:1"
"3","5","26353755-fcea-4f57-ac4e-17f241bb6e7a","gateway-to-india-obergunzburg","Gateway to India","Obergunzburg","Germany","osm-import-2026-04","https://gatewaymarktplatz.de/","fisch:4,huhn:2,pute:1"
"3","5","264b842c-be82-48b8-8986-ed9b5de65c93","bay-chi-dietfurt-an-der-altmuhl","Bay.Chi","Dietfurt an der Altmuhl","Germany","osm-import-2026-04","https://www.bay-chi.de","wurst:3,schinken:3,salami:1"
"3","5","5e93121c-d144-4ac2-8d72-6b271589b8a7","charlotte-s-tea-house-truro","Charlotte's Tea House","Truro","United Kingdom","osm-import-2026-04","https://charlottes-teahouse.co.uk/","chicken:1,bacon:1,beef:1"
"3","5","6bb33e98-e0dd-4a67-a5df-6572a3fdf3ac","peter-pane-burgergrill-bar-ostseebad-binz","PETER PANE Burgergrill & Bar","Ostseebad Binz","Germany","foursquare-discover-2026-04-18","https://peterpane.de/standorte/binz/strandpromenade","chicken:2,rind:1,huhn:1"
"3","5","76f94ede-fdd5-48de-a3d7-ec6eb289df4e","caibreeze-vegetarian-cafe-spring-valley","Caibreeze Vegetarian Cafe","Spring Valley","United States","vegguide-import-2026-04-17","https://www.caribreeze.com","fish:1,beef:1,chicken:1"
"3","5","91348e76-0748-41d2-8589-38d88c6b0d81","teapot-vegetarian-house-redmond-redmond","Teapot Vegetarian House - Redmond","Redmond","United States","vegguide-import-2026-04-17","https://www.teapotvegetarianhouse.com","salmon:2,beef:1,chicken:1"
"3","5","aa14ba46-c331-4ed4-ad54-40906a3537ea","bagelstore-tigergreen-regensburg","Bagelstore Tigergreen","Regensburg","Germany","osm-import-2026-04","https://www.tigergreen.de/","chicken:1,tuna:1,thunfisch:1,fisch:1"
"3","5","b3c77ab7-423e-4416-8ef9-214a9e9e949b","ely-s-to-go-boardman","Ely's To Go","Boardman","United States","vegguide-import-2026-04-17","https://www.elystogo.com","chicken:4,bacon:2"
"3","5","bb5ff7a3-20d6-4cfc-9fd4-883cfae29021","vx-bristol-bristol","VX Bristol","Bristol","United Kingdom","openstreetmap","https://www.vxbristol.com/","sausage:1,bacon:1,chicken:1"
"3","5","c3d69ce1-e11c-4b1a-9259-a2db5a789016","isstanbul-heidelberg","Isstanbul","Heidelberg","Germany","osm-import-2026-04","https://isstanbuldoner.de/","chicken:1,salami:1,schinken:1"
"3","5","d3b75482-4059-469e-9e4a-d8bf05956811","o-cado-sherman-oaks","O'Cado","Sherman Oaks","United States","vegguide-import-2026-04-17","https://www.ocadola.com","fish:1,crab:1,chorizo:1"
"3","5","f58e4e67-880d-4c83-acc6-d13e824fb0ab","peter-pane-burgergrill-bar-oldenburg","PETER PANE Burgergrill & Bar","Oldenburg","Germany","foursquare-discover-2026-04-18","https://peterpane.de/standorte/oldenburg/heiligengeistwall","chicken:2,rind:1,huhn:1"
"3","3","0f8b030f-e3d2-4dcf-9bdd-feaf3ae16c9f","zinco-lounge-swansea","Zinco Lounge","Swansea","United Kingdom","foursquare-discover-2026-04-18","http://thelounges.co.uk/zinco","chicken:1,lamb:1,cordero:1,pescado:1"
"3","3","1a734df6-8275-4637-b921-eaa95af900b7","philly-vienna","Philly","Vienna","Austria","osm_validated_batch3","https://philly.at/","beef:10,chicken:10"
"3","3","6b485407-38e7-4eda-8c70-b6bf0d580fd0","vegreen-2-go-duluth","Vegreen 2 Go","Duluth","United States","osm_fresh_2026_04","http://vegreen2go.com","chicken:1,shrimp:1,fish:1,beef:1"
"3","3","7d6fe79a-0fd0-4fd1-8635-30124c9fb77d","hakka-ren-mississauga","Hakka Ren","Mississauga","Canada","foursquare-discover-2026-04-18","http://www.hakkaren.ca","chicken:4,beef:2"
"3","3","8610e95c-c61c-4b92-ac77-b22edef8c911","establo-lounge-littlehampton","Establo Lounge","Littlehampton","United Kingdom","foursquare-discover-2026-04-18","https://thelounges.co.uk/establo","duck:2,cordero:1,pescado:1"
"3","3","87e4657d-3b43-49af-bfeb-bfb5077d8c47","peter-pane-flensburg","Peter Pane","Flensburg","Germany","foursquare-discover-2026-04-18","https://peterpane.de/standorte/flensburg/nordermarkt","chicken:2,rind:1,huhn:1"
"3","3","8b47c773-ce9b-40e4-84b3-e80d1b78f02f","seed-to-sprout-avon-by-the-sea","Seed To Sprout","Avon-by-the-Sea","United States","foursquare-discover-2026-04-18","http://www.seedtosproutnj.com","bacon:5,turkey:1"
"3","3","987ac07a-b39a-4018-b63d-f6232f929d57","la-plage-carcavelos","La Plage","Carcavelos","Portugal","foursquare-discover-2026-04-18","https://www.laplagecarcavelos.com","frango:1,polvo:1,vaca:1"
"3","3","9b85fab0-4350-4bb0-89f4-1ba8f4adfc7d","town-tonic-cafe-restaurant-christchurch","Town Tonic Cafe & Restaurant","Christchurch","New Zealand","foursquare-discover-2026-04-18","http://www.towntonic.co.nz","lamb:2,beef:1,chicken:1"
"3","3","d4cb140e-0fd3-4012-a480-5a42bf5d7797","ormo-lounge-llandudno","Ormo Lounge","Llandudno","United Kingdom","foursquare-discover-2026-04-18","https://thelounges.co.uk/ormo","chicken:1,lamb:1,cordero:1,pescado:1"
"3","3","efac4677-f1f6-4525-a65a-b5af93666ff2","estero-lounge-monmouth","Estero Lounge","Monmouth","United Kingdom","foursquare-discover-2026-04-18","http://thelounges.co.uk/estero","chicken:1,lamb:1,cordero:1,pescado:1"
"3","2","4850e4d2-5258-464c-96be-f137fac4e089","shizen-ya-vancouver","Shizen Ya","Vancouver","Canada","osm_validated_batch3","https://shizenya.ca/","fish:1,salmon:1,tuna:1"
