Причина,Джерело,Перевірка,Сторінки
Альтернативна сторінка з належним тегом канонічної сторінки,Веб-сайт,Помилка,863
Копія без вибраної користувачем канонічної версії,Веб-сайт,Помилка,39
Проскановано – наразі не проіндексовано,Системи Google,Помилка,68
Заблоковано через іншу помилку 4xx,Веб-сайт,Не почато,23
Не знайдено (404),Веб-сайт,Не почато,19
Сторінка з переспрямуванням,Веб-сайт,Не почато,10
Виявлено – наразі не проіндексовано,Системи Google,Почато,40016
