Place ID,Name,City,Country,Current level,Suggested PlantsPack level,Confidence,Action,Priority,decision,changes_applied,review_reason
cba016be-afb5-44f3-abe4-1768e94f0b4c,Il Margutta Vegetariano,Rome,Italy,Vegan friendly,Vegan friendly,Low,Add hours / Add image,P2,skip,,no actionable change
5879b02b-1da4-4d40-b7fc-eb58046c9b21,Il Margutta veggy food & art,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Keep / monitor,P3,skip,,no actionable change
17ac772c-35ed-4caa-8e35-4fc511b7b003,Jaya Sai Ma,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add hours / Add image,P1,skip,,no actionable change
9012d1ea-f040-41bc-bffc-7cb4dda0e5f9,Julietta Pastry & Lab,Rome,Italy,100% vegan,100% vegan,High,Keep / monitor,P3,skip,,no actionable change
ea4fa9bf-ee8e-4cb0-a08b-ce3f3ca3a72f,Kalapa,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Add image,P2,skip,,no actionable change
656c227a-a572-49c7-92d9-888d95077d57,Krugh A Borgo,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
3407782b-e985-4a2a-bf94-cce446e21a70,L'Arena del Gelato,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
5698d6f8-2ced-40af-8d8a-0e6095029404,L'insalatiera,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Fix address / Add hours / Add image,P1,skip,,no actionable change
a4285791-10a1-44c4-a832-d5953e9b961e,L'Oasi del gusto,Rome,Italy,Vegan options,Vegan options,Low,Add hours,P2,skip,,no actionable change
4a0cbeec-8af6-4836-b5e5-016b3e8e7163,La Casina dell'Orologio,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Keep / monitor,P3,skip,,no actionable change
9f88d47a-6cc7-473e-991b-2695769f2df0,La Gnoccheria,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Fix address / Add hours / Add image,P1,skip,,no actionable change
13f3680d-b962-4a30-94d3-40651c0a22bd,Le Petit Bio,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add hours / Add image,P1,skip,,no actionable change
24ceb909-1e35-4f4b-b5f1-a3d48c42b0a8,Lievito Chiana,Rome,Italy,Vegan options,Vegan options,Medium,Keep / monitor,P3,skip,,no actionable change
16ab466f-c6c0-4509-a0d6-0d6283177fe8,Luna,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Keep / monitor,P3,skip,,no actionable change
93103f55-1a5f-428b-81b5-643e74f13f52,Mun Sushi Bar,Rome,Italy,Mostly vegan,Mostly vegan,Medium,Keep / monitor,P3,skip,,no actionable change
a33a3729-b5a3-4a12-a58a-aac009fbf471,Nativa Ristorante,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Keep / monitor,P3,skip,,no actionable change
f84ee69d-bfde-4ea7-933f-62cc5983da33,Old Wild West,Rome,Italy,Vegan options,Vegan options,Medium,Keep / monitor,P3,skip,,no actionable change
13155cb5-aa41-468a-8cf1-f6c4b9c93899,Open Baladin,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Add image,P2,skip,,no actionable change
c58d6942-ef1f-4700-9216-99aff31db633,Orto,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add hours / Add image,P1,skip,,no actionable change
1b3e1416-9311-41e3-966c-e5fa18f3c798,Orto Verde & Goloso,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Add image,P2,skip,,no actionable change
4dd59912-9234-4832-960e-b3c2bbd4c813,Osteria Sant' Uffizio,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add hours / Add image,P1,skip,,no actionable change
0953fc50-66ad-4de6-94d5-c90c75a4ccdd,Palazzo del Freddo Giovanni Fassi,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Keep / monitor,P3,skip,,no actionable change
62fed1e3-120d-4994-80a4-da96cc033a3d,Pandalì,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
47f2095a-0b8a-49c0-aed0-d9621ae249b9,Pizza Florida,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
d37482f7-146e-471a-9222-bad9b354cfb6,Pizzeria Il Campione,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
784b19b8-0fd5-42d7-95e3-cb876fca8988,Pizzeria Il Nuovo Tempio,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Fix address / Add image,P1,skip,,no actionable change
006ebaed-a049-4524-bec4-086eae560154,Propaganda Italian Cusine,Rome,Italy,Vegan options,Vegan options,Medium,Keep / monitor,P3,skip,,no actionable change
c844d334-5bf0-47bb-b426-e548621dc9a8,Pugliamonti,Rome,Italy,Vegan friendly,Vegan friendly,Low,Add hours / Add image,P2,skip,,no actionable change
8979bc9c-ff8d-49a2-969f-b1645c94b490,reLab,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Add image,P2,skip,,no actionable change
64dc482f-5d1c-4b7f-8490-6529aae20059,Ristorante Giapponese Sush'Amo,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
1c2b28d3-d175-4bab-bcda-1f18259e4c10,Ristorante Isidoro,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Keep / monitor,P3,skip,,no actionable change
85f36fed-023e-4f03-9a79-9ff634465c20,Romeow Cat Bistrot,Rome,Italy,100% vegan,100% vegan,High,Keep / monitor,P3,skip,,no actionable change
eb5ffb64-0a4f-43f6-8f05-4f4c40802eb5,Rosemary,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Keep / monitor,P3,skip,,no actionable change
726c3e79-223f-463d-ac83-0f75efc15a9e,Sake Boutique,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Fix address / Add image,P1,skip,,no actionable change
14bcc3ff-bfec-4135-8fe3-e864484f1bb1,Saravanaa Bhavan,Rome,Italy,Vegan friendly,Vegan friendly,Medium,Add image,P2,skip,,no actionable change
ab0acb19-b41c-4c93-9dfc-27f9cb5ca111,Shawarma Station,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
d0862070-b2f7-4700-86b7-74474b698666,Snug The Comfort Café,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
88910ac4-9b43-4a3f-bb61-bc35302579fe,Solo crudo,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add hours / Add image,P1,skip,,no actionable change
2298aa45-1437-427d-9e72-46b407ab3ed4,Status Quo,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
f6884b57-4598-400a-a261-9bc72fa77549,Sushi Tribu,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add image,P1,skip,,no actionable change
210ebfa8-7150-4840-852b-2175582f05fb,Taverna Sciuscella,Rome,Italy,Vegan friendly,Vegan friendly,Low,Find website/source / Add hours / Add image,P1,skip,,no actionable change
